HDD,RAM,RAM_frequincy,RAM_type,SSD,anti_glare,brand,cpu_brand,cpu_family,cpu_frequincy,cpu_modifier,cpu_number_identifier,gpu_brand,gpu_frequincy,gpu_number_modifier,gpu_vram,gpu_words_modifier,prix,screen_refresh_rate,screen_resolution,screen_size,state,touch_screen
0,16,3198,ddr4,512,0,asus,intel,h,3.3,i7,11370,nvidia,0,3050 ti,4,geforce rtx,296000,144,fhd,15.6,new,0
0,4,0,sdram,128,0,asus,intel,n,1.1,celeron,4020,0,0,0,0,0,72900,60,hd,15.6,new,0
1000,8,3200,ddr4,256,0,asus,intel,h,2.6,i7,9750,nvidia,0,1650,4,geforce gtx,228900,60,fhd,15.6,new,0
0,16,3200,ddr4,1000,1,asus,amd,h,3.2,ryzen7,5800,nvidia,1510,3070,8,geforce rtx,349000,144,fhd,15.6,new,0
1000,8,2666,ddr4,256,0,asus,intel,h,2.6,i7,9750,nvidia,0,1050,4,geforce gtx ,180000,60,fhd,15.6,new,0
1000,4,1600,ddr4,0,0,asus,intel,g1,1.2,i3,1005,0,0,0,0,0,94900,60,fhd,15.6,new,0
1000,4,0,ddr4,0,0,asus,intel,n,1.1,celeron,4020,0,0,0,0,0,72000,60,hd,15.6,new,0
0,8,2400,ddr4,512,0,asus,intel,u,1.6,i5,8265,0,0,0,0,0,89000,60,hd,17.3,new,0
0,8,0,ddr4,512,0,asus,intel,u,1.8,i7,10510,nvidia,0,250,2,geforce mx,259900,60,fhd,11,new,0
1000,16,0,ddr4,256,0,asus,amd,h,2.9,ryzen7,4800,nvidia,0,1660 ti,6,geforce gtx,195000,60,fhd,17.3,new,0
0,8,0,ddr4,512,0,asus,amd,h,4.2,ryzen5,5600,0,0,0,0,0,153000,90,fhd,14,new,0
1000,16,2666,ddr4,256,0,asus,intel,h,2.2,i7,8750,nvidia,0,1060,6,geforce gtx,225000,60,fhd,17.3,used,0
0,8,0,ddr4,512,0,asus,amd,u,2.2,ryzen7,5700,0,0,0,0,0,180000,60,fhd,15.6,new,0
0,8,2133,ddr4,256,0,asus,intel,u,1.6,i5,8250,0,0,0,0,0,78000,60,fhd,13.3,used,0
0,8,3200,ddr4,512,0,asus,amd,u,2,ryzen7,4700,0,0,0,0,0,155000,60,fhd,14,new,1
0,4,2133,ddr4,256,0,asus,intel,u,2.5,i5,7200,0,0,0,0,0,84000,60,fhd,14,used,0
1000,4,0,ddr4,256,0,asus,intel,g1,1.2,i3,1005,0,0,0,0,0,112000,60,fhd,15.6,new,0
1000,8,2400,ddr4,256,0,asus,intel,hq,2.6,i7,6700,nvidia,0,960M,2,geforce gtx,140000,60,fhd,17.3,used,0
1000,16,2400,ddr4,128,0,asus,intel,hq,2.8,i7,7700,nvidia,0,1050,4,geforce gtx,155000,60,fhd,17.3,new,0
0,4,2133,ddr4,256,0,asus,intel,u,2.3,i3,7020,0,0,0,0,0,60000,60,hd,14,used,0
0,8,2667,ddr4,512,0,asus,intel,u,1.8,i7,10510,0,0,0,0,0,133000,60,fhd,14,used,0
0,4,1600,ddr4,64,0,asus,intel,n,1.1,Pentium,5000,0,0,0,0,0,42000,60,hd,14,used,0
0,24,2133,ddr4,768,0,asus,intel,hq,2.6,i7,6700,0,0,0,0,0,169000,60,fhd,17.3,used,0
1000,4,1866,ddr4,128,0,asus,amd,0,3,A9,9420,amd,0,M420,0,Radeon5,75000,60,fhd,15.6,new,0
0,8,2133,ddr4,256,0,asus,intel,u,2.7,i7,7500,0,0,0,0,0,124000,60,fhd,13.3,new,0
1000,4,2666,ddr4,256,0,asus,intel,u,2.1,i3,10110,0,0,0,0,0,105000,60,fhd,15.6,new,0
1000,8,2400,ddr4,256,0,asus,intel,u,1.6,i5,8265,0,0,0,0,0,110000,60,fhd,15.6,used,0
1000,8,3200,ddr4,0,1,asus,intel,g1,1,i5,1035,0,0,0,0,0,128900,60,hd,15.6,new,0
1000,8,0,ddr4,0,0,asus,amd,u,2.4,Athlon ,3150,0,0,0,0,0,85900,60,hd,14,new,0
1000,4,0,ddr4,0,0,asus,intel,g1,3.4,i3,1005,0,0,0,0,0,92900,60,fhd,15.6,new,0
1000,4,0,ddr4,0,0,asus,intel,u,2.4,i3,7100,0,0,0,0,0,89900,60,hd,15.6,new,0
1000,8,0,ddr4,0,0,asus,intel,g1,1,i5,1035,nvidia,0,MX110,2,geforce,147000,60,hd,15.6,new,0
1000,4,0,ddr4,0,0,asus,amd,0,2.3,A4,9125,0,0,0,0,0,65500,60,hd,15.6,new,0
1000,4,0,ddr4,0,0,asus,amd,0,2.3,A4,9125,0,0,0,0,0,65500,60,hd,15.6,new,0
0,16,2133,ddr4,512,0,lenovo,intel,u,2.7,i7,7500,nvidia,0,M520,0,quadro,121999,60,fhd,15.6,new,0
1000,8,2667,ddr4,64,0,lenovo,intel,h,2.2,i7,8750,nvidia,0,1050,4,geforce gtx,147000,60,fhd,15.6,used,0
1000,4,1600,ddr3,0,0,lenovo,intel,u,2,i7,4510,0,0,0,0,0,65000,60,hd,15.6,used,0
0,16,3200,ddr4,512,0,lenovo,amd,u,2.1,ryzen5,4650,0,0,0,0,0,140000,60,hd,13.3,new,0
0,8,2677,ddr4,256,0,lenovo,intel,u,1.7,i5,10310,0,0,0,0,0,113000,60,fhd,13.3,new,0
